PERCEPHO,P103,P104,P105A,EDUCACION_JEFE,DOMINIO,NUM_SERVICIOS,NUM_EQUIPOS,NUM_OCUPADOS,EDAD_JEFE,PCT_NINOS,POBREZA,HACINAMIENTO
2,5.0,5.0,2.0,5.0,3,8,6,2.0,75.0,0.0,3,3.0
1,2.0,7.0,2.0,10.0,3,8,6,0.0,79.0,0.0,3,1.0
1,5.0,2.0,2.0,7.0,3,8,6,1.0,46.0,0.0,3,1.0
2,3.0,4.0,2.0,9.0,3,8,6,1.0,22.0,0.25,3,4.0
2,5.0,2.0,2.0,4.0,3,8,6,2.0,73.0,0.0,3,2.0
1,5.0,1.0,2.0,6.0,3,8,6,1.0,33.0,0.3333333333333333,3,3.0
1,5.0,3.0,2.0,7.0,6,8,6,1.0,48.0,0.25,3,4.0
3,5.0,4.0,2.0,4.0,6,8,6,3.0,50.0,0.0,3,3.0
2,5.0,4.0,2.0,6.0,6,8,6,2.0,46.0,0.25,3,4.0
3,5.0,3.0,2.0,8.0,6,8,6,2.0,29.0,0.4,3,5.0
3,3.0,6.0,2.0,5.0,6,8,6,3.0,49.0,0.0,3,4.0
1,5.0,5.0,2.0,9.0,6,8,6,1.0,39.0,0.4,3,5.0
3,5.0,4.0,2.0,3.0,6,8,6,3.0,56.0,0.0,3,3.0
2,5.0,3.0,2.0,8.0,6,8,6,2.0,42.0,0.5,3,4.0
2,5.0,4.0,2.0,9.0,6,8,6,2.0,54.0,0.1666666666666666,3,6.0
2,5.0,2.0,2.0,5.0,3,8,6,2.0,46.0,0.0,3,0.375
3,6.0,3.0,2.0,6.0,3,8,6,3.0,43.0,0.375,3,1.0
1,5.0,1.0,2.0,6.0,3,8,6,1.0,48.0,0.0,3,0.125
2,5.0,1.0,2.0,6.0,3,8,6,2.0,31.0,0.3333333333333333,3,0.375
2,5.0,2.0,2.0,5.0,3,8,6,2.0,61.0,0.0,3,0.375
2,6.0,5.0,2.0,4.0,3,8,6,2.0,62.0,0.0,3,3.0
3,5.0,2.0,2.0,3.0,3,8,6,3.0,58.0,0.0,3,4.0
1,6.0,3.0,2.0,5.0,3,8,6,1.0,56.0,0.0,3,2.0
2,6.0,3.0,2.0,4.0,3,8,6,2.0,61.0,0.0,3,2.0
2,5.0,3.0,2.0,6.0,6,8,6,2.0,62.0,0.4,3,5.0
