PERCEPHO,P103,P104,P105A,EDUCACION_JEFE,DOMINIO,NUM_SERVICIOS,NUM_EQUIPOS,NUM_OCUPADOS,EDAD_JEFE,PCT_NINOS,POBREZA,HACINAMIENTO
3,5.0,3.0,1.0,9.0,2,8,6,0.0,62.0,0.3333333333333333,2,6.0
1,6.0,1.0,2.0,4.0,5,8,6,0.0,87.0,0.0,3,1.0
3,6.0,3.0,2.0,10.0,5,8,6,1.0,75.0,0.0,2,5.0
2,6.0,1.0,6.0,5.0,5,8,6,1.0,48.0,0.0,2,2.0
2,6.0,3.0,2.0,4.0,5,8,6,2.0,76.0,0.0,3,2.0
2,6.0,3.0,2.0,4.0,5,8,6,1.0,87.0,0.0,2,2.0
2,6.0,2.0,6.0,6.0,5,8,6,0.0,49.0,0.2,2,0.7142857142857143
3,5.0,4.0,2.0,6.0,5,8,6,2.0,68.0,0.0,3,4.0
2,3.0,10.0,2.0,9.0,5,8,6,2.0,64.0,0.0,3,3.0
2,5.0,8.0,2.0,8.0,5,8,6,1.0,65.0,0.0,3,3.0
2,3.0,3.0,2.0,11.0,5,8,6,1.0,33.0,0.0,3,2.0
3,3.0,5.0,2.0,11.0,5,8,6,2.0,51.0,0.0,3,4.0
1,5.0,2.0,6.0,7.0,5,8,6,1.0,52.0,0.0,3,1.0
3,5.0,4.0,1.0,6.0,5,8,6,1.0,63.0,0.0,3,3.0
4,3.0,5.0,2.0,9.0,5,8,6,0.0,62.0,0.0,3,4.0
5,5.0,4.0,2.0,4.0,5,8,6,5.0,41.0,0.14285714285714285,3,7.0
1,6.0,4.0,2.0,1.0,5,8,6,1.0,74.0,0.4,2,5.0
3,6.0,2.0,2.0,3.0,5,8,6,1.0,76.0,0.0,3,3.0
2,5.0,1.0,2.0,3.0,5,8,6,1.0,33.0,0.2,2,5.0
3,6.0,4.0,2.0,4.0,5,8,6,1.0,54.0,0.16666666666666666,2,6.0
2,5.0,2.0,2.0,8.0,5,8,6,1.0,38.0,0.6,1,5.0
2,5.0,2.0,6.0,5.0,5,8,6,1.0,29.0,0.6,2,5.0
1,6.0,4.0,2.0,3.0,5,8,6,1.0,66.0,0.0,3,1.0
2,6.0,3.0,2.0,4.0,5,8,6,2.0,58.0,0.3333333333333333,3,3.0
1,6.0,1.0,6.0,3.0,5,8,6,0.0,82.0,0.0,3,1.0
1,6.0,4.0,2.0,6.0,5,8,6,1.0,32.0,0.0,3,0.2857142857142857
2,6.0,2.0,2.0,4.0,5,8,6,1.0,78.0,0.0,2,0.42857142857142855
